Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_001-004-005_TestSuite,Chrome 120.0.0.0,,,28-01-2024 00:16:55,28-01-2024 00:17:32,37.383s,PASSED
,,,,,,,
Test Cases/Buttons/TC_Cura_Home_Launch_001,Chrome 120.0.0.0,,,28-01-2024 00:16:55,28-01-2024 00:17:02,7.042s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,28-01-2024 00:16:55,28-01-2024 00:16:56,0.960s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,28-01-2024 00:16:56,28-01-2024 00:16:58,1.893s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,28-01-2024 00:16:58,28-01-2024 00:17:01,3.281s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Cura_pages_OR/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), 0)",Chrome 120.0.0.0,,,28-01-2024 00:17:01,28-01-2024 00:17:02,0.392s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,28-01-2024 00:17:02,28-01-2024 00:17:02,0.216s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,28-01-2024 00:17:02,28-01-2024 00:17:02,0.144s,FAILED
,,,,,,,
Test Cases/Buttons/TC_Cura_History_004,Chrome 120.0.0.0,,,28-01-2024 00:17:02,28-01-2024 00:17:20,18.075s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,28-01-2024 00:17:02,28-01-2024 00:17:02,0.190s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,28-01-2024 00:17:02,28-01-2024 00:17:03,0.901s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,28-01-2024 00:17:03,28-01-2024 00:17:07,3.968s,PASSED
"click(findTestObject(""Object Repository/Cura_pages_OR/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 120.0.0.0,,,28-01-2024 00:17:07,28-01-2024 00:17:08,0.423s,PASSED
