Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TL_CURA_Keyword_Appointment_003_TestSuite,Chrome 120.0.0.0,,,28-01-2024 00:25:40,28-01-2024 00:25:58,18.068s,PASSED
,,,,,,,
Test Cases/Keywords/TC_Cura_Make_Appointment_Keyword_003,Chrome 120.0.0.0,,,28-01-2024 00:25:47,28-01-2024 00:25:58,10.468s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,28-01-2024 00:25:47,28-01-2024 00:25:50,2.599s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Cura_pages_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 120.0.0.0,,,28-01-2024 00:25:50,28-01-2024 00:25:51,1.107s,PASSED
"com.qa.test.customFunctions.CheckDropDownListElementExist(findTestObject(""Cura_pages_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Tokyo CURA Healthcare Center"")",Chrome 120.0.0.0,,,28-01-2024 00:25:51,28-01-2024 00:25:52,0.735s,PASSED
"click(findTestObject(""Object Repository/Cura_pages_OR/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 120.0.0.0,,,28-01-2024 00:25:52,28-01-2024 00:25:52,0.388s,PASSED
"click(findTestObject(""Object Repository/Cura_pages_OR/Page_CURA Healthcare Service/input_programs""))",Chrome 120.0.0.0,,,28-01-2024 00:25:52,28-01-2024 00:25:53,0.400s,PASSED
"click(findTestObject(""Object Repository/Cura_pages_OR/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 120.0.0.0,,,28-01-2024 00:25:53,28-01-2024 00:25:53,0.409s,PASSED
"click(findTestObject(""Object Repository/Cura_pages_OR/Page_CURA Healthcare Service/td_15""))",Chrome 120.0.0.0,,,28-01-2024 00:25:53,28-01-2024 00:25:54,0.527s,PASSED
"setText(findTestObject(""Object Repository/Cura_pages_OR/Page_CURA Healthcare Service/textarea_comment""), ""Emergency"")",Chrome 120.0.0.0,,,28-01-2024 00:25:54,28-01-2024 00:25:55,0.836s,PASSED
"click(findTestObject(""Object Repository/Cura_pages_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,28-01-2024 00:25:55,28-01-2024 00:25:55,0.811s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Cura_pages_OR/Page_CURA Healthcare Service/h2_Appointment Confirmation""), 0)",Chrome 120.0.0.0,,,28-01-2024 00:25:55,28-01-2024 00:25:56,0.473s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,28-01-2024 00:25:56,28-01-2024 00:25:58,1.889s,PASSED
